blockId,pageId,type,size,content,order
p-cvXyh-0,_2aJ2MTY0,body,full,"<p>The blocks are saved if the user changes selection and if there are new changes on the block. Change this Refresh the page to send get request and try editing this block to send <strong style='color: rgb(0, 71, 178);'>update requests</strong>. This <code>text is in code</code> styling. This is a super<sup>script</sup> and this is a sub<sub>script</sub>. Highlights can also be added on text which <span style='background-color: rgb(204, 224, 245);'>useful for note-taking</span>. This paragraph is centered and is on large sized block. </p>",11
-l8IlyLt8,_2aJ2MTY0,header3,full,"<p><u>Header Three</u></p>",12
7M52kNFG7,_2aJ2MTY0,body,full,"<p class='ql-align-justify'>Updating block styling was implemented with the help of <strong style='color: rgb(0, 71, 178);'>ngx-quill</strong>, an angular module for the Quill Rich Text Editor. The advanced demo for ngx-quill can be seen <a href='https://killercodemonkey.github.io/ngx-quill-example/' rel='noopener noreferrer' target='_blank' contenteditable='false'>here</a>.  In the format-HTML, it can be noticed that the text editor can return the value of the text area with its styling in <strong style='color: rgb(0, 71, 178);'>HTML format</strong>. The HTML format of the blocks are saved in the database. Additionally, the theme used for this application is bubble which sets toolbar to only be visible when the text in the text area is highlighted.</p>",13
nnt0W5rQ9,_2aJ2MTY0,body,full,"<p class='ql-align-justify'>In this mini-app the toolbar and textarea <span style='background-color: rgb(204, 224, 245);'>were customized</span> to fit the branding and design of notion. The font style and font size becomes fixed depending on the block type. Some complex quill formats were removed in the toolbar such as changing the font style, adding headers, and inserting an image. However, a block type for headers and inserting an image were created outside the text editor. This means the <span style='background-color: rgb(204, 224, 245);'>image block type</span> of this mini-app is not using quill. On the other hand, headers still use ngx quill but is set with <span style='background-color: rgb(204, 224, 245);'>different font style and size</span>.</p>",14
DroYuqweF,_2aJ2MTY0,image,full,,15
V-is0InRZ,_2aJ2MTY0,header3,full,"<p class='ql-align-center'><em style='background-color: rgb(255, 255, 204);'>Delete Pages and Blocks</em></p>",16
3F9frYXBI9,_2aJ2MTY0,body,full,"<p class='ql-align-justify'><strong style='color: rgb(178, 178, 0);'>Gurren Lagann</strong> takes place in a future where Earth is ruled by the Spiral King, Lordgenome, who forces mankind to live in isolated subterranean villages. These villages have no contact with the surface world or other villages and are under constant threat of earthquakes. Selected villagers called diggers are conscripted to <span style='font-weight: var(--bs-body-font-weight); background-color: rgb(255, 255, 204);'>expand their homes</span> deeper underground. Simon, a meek young digger ostracized by his peers in Giha village, finds solace in his best friend, an older brother figure who is an eccentric delinquent named Kamina. Kamina encourages Simon to join his gang, Team Gurren, to help him achieve his dream of visiting the surface world. One day, Simon unearths a <span style='font-weight: var(--bs-body-font-weight); background-color: rgb(255, 255, 204);'>drill-shaped key</span> called a Core Drill, followed by a small mecha resembling a face called a Gunmen. Shortly thereafter, a huge Gunmen crashes through the ceiling and begins attacking the village, followed by a girl named Yoko, who attempts to repel the Gunmen. Simon uses his Core Drill to activate the smaller Gunmen and its drilling-based abilities. He successfully uses it to destroy the larger Gunmen and break through the ceiling to bring him and Kamina to the surface world.</p>",17
uftCUN_SMT,_2aJ2MTY0,body,full,"<p class='ql-align-justify'><span style='color: rgb(0, 0, 0);'>Deleting a page to remove the page and its block on the database. Don't believe in the you that believes in me and don't believe in the me that believes in you. Believe in the you that believes in yourself. When I feel weak, or when I lack self-confidence, I remember Simon's back as he dug tirelessly. I wanted to become a man who's </span><span style='color: rgb(0, 0, 0); background-color: rgb(255, 255, 204);'>back would never break</span><span style='color: rgb(0, 0, 0);'>. That's what I thought. If you are doing it, I'm doing it. If I don't do it, will you? If you don't do it, I'll do it. I'm doing it so that you'll do it too!</span></p>",18
hhwwM143I,_2aJ2MTY0,header3,full,"<p class='ql-align-center'><em style='background-color: rgb(204, 232, 204);'>Upload Photos on Blocks or Banners</em></p>",19
IxrGv79QU,_2aJ2MTY0,body,full,"<p class='ql-align-justify'>The client accepts file as input and check wheter the file is of the acceptable format: <code>.png, .jpg, .jpeg, .gif, .webp</code>. If the file has a valid format, it is sent to the server. In some patch routes of the server, a middleware checks whether the request have some image files attached on it. It the file has a valid format, it saves the image in one of the servers folder. To upload image in the server, the <strong style='color: rgb(0, 97, 0);'>multer</strong> package is required. Multer is a middleware of <code>node.js</code> primarily used for uploading files, in general. Then, the request is appended to contain the filepath to where the image was saved in the server. The entity will contain the <span style='background-color: rgb(204, 232, 204);'>path to the file</span> instead of containing the file itself.</p>",20
I3uJHxewv,_2aJ2MTY0,image,half,http://localhost:3000/static/block_I3uJHxewv.webp,21
BhUAjJQ1V,_2aJ2MTY0,header1,full,"<p><em>Nice to Haves</em></p>",22
-qMxxuA8y,_2aJ2MTY0,body,full,"<p class='ql-align-justify'><em>a) As a user, I want to be able to re-order blocks and pages by </em><strong style='color: rgb(178, 107, 0);'><em>dragging the objects</em></strong><em>. </em><a href='https://material.angular.io/cdk/drag-drop/overview' rel='noopener noreferrer' target='_blank' contenteditable='false'><em>*</em></a> </p><p class='ql-align-justify'><em>b) As a user, I want to be able to </em><strong style='color: rgb(178, 107, 0);'><em>search my pages</em></strong><em> and be able to access the pages they belong to.</em></p><p class='ql-align-justify'><em>c) As a user, I want to be able to share a </em><strong style='color: rgb(178, 107, 0);'><em>publicly accessible read-only view</em></strong><em> of a page of my choice.</em></p>",23
42Ds0rTi_,_2aJ2MTY0,body,full,,24
0UNDShvRA,_2aJ2MTY0,body,full,,25
xuy8LY87l,03w7qfHRS,body,full,,1
GsLQN7UI7,0Us0pGNuK,body,full,"<p class='ql-align-justify'><strong style='color: rgb(102, 185, 102);'>Crocodiles</strong> (family Crocodylidae) or true crocodiles are <span style='background-color: rgb(204, 232, 204);'>large semiaquatic reptiles</span> that live throughout the tropics in Africa, Asia, the Americas and Australia. The term crocodile is sometimes used even more loosely to include all extant members of the order Crocodilia, which includes the alligators and caimans (family Alligatoridae), the gharial and false gharial (family Gavialidae) among other extinct taxa.</p>",1
Rxf0gPwuf,0Us0pGNuK,body,full,"<p class='ql-align-justify'>Although they appear similar, <span style='background-color: rgb(204, 232, 204);'>crocodiles, alligators and the gharial</span> belong to separate biological families. The gharial, with its narrow snout, is easier to distinguish, while morphological differences are more difficult to spot in crocodiles and alligators. The most obvious external differences are visible in the head, with crocodiles having <strong style='color: rgb(102, 185, 102);'>narrower</strong> and longer head's, with a more V-shaped than a U-shaped snout compared to alligators and caimans. Another obvious trait is that the upper and lower jaws of the crocodiles are the same width, and the teeth in the lower jaw fall along the edge or outside the upper jaw when the mouth is closed; therefore, all teeth are visible, unlike an alligator, which possesses in the upper jaw small depressions into which the lower teeth fit. Also, when the crocodile's <span style='background-color: rgb(204, 232, 204);'>mouth is closed</span>, the large fourth tooth in the lower jaw fits into a constriction in the upper jaw. For hard-to-distinguish specimens, the protruding tooth is the most reliable feature to define the species family. Crocodiles have <strong style='color: rgb(102, 185, 102);'>more webbing</strong> on the toes of the hind feet and can better tolerate saltwater due to specialized salt glands for filtering out salt, which are present, but non-functioning, in alligators. Another trait that separates crocodiles from other crocodilians is their much higher levels of aggression.</p>",2
PcsJRaK7I,0Us0pGNuK,header1,full,"<p><span style='color: rgb(161, 0, 0);'>Etymology</span></p>",3
CPPiq4WUe,0Us0pGNuK,body,large,"<p class="ql-align-justify">The word crocodile comes from the Ancient Greek <strong style="color: rgb(161, 0, 0);"><em>krokodilos</em></strong> meaning 'lizard', used in the phrase ho krokodilos tou potamou, 'the lizard of the (Nile) river'. There are several variant Greek forms of the word attested, including the later form krokodeilos found cited in many English reference works. In the Koine Greek of Roman times, krokodilos and krokodeilos would have been pronounced identically, and either or both may be the source of the Latinized form crocodalus used by the ancient Romans. It is ascribed to Herodotus, and supposedly describes the <span style="background-color: rgb(250, 204, 204);">basking habits</span> of the Egyptian crocodile. Crocodylidae is cladistically defined as a crown group composed of the last common ancestor of the Nile crocodile (Crocodylus niloticus), the Dwarf crocodile (Osteolaemus tetraspis), and all of its descendants. Crocodylinae contains 13-14 living species, as well as 6 extinct species. Osteolaeminae was named by Christopher Brochu in 2003 as a subfamily of Crocodylidae separate from Crocodylinae.</p>",4
czFWzFWdI,0Us0pGNuK,image,small,http://localhost:3000/static/block_czFWzFWdI.jpeg,5
kMoQp1mrC,0Us0pGNuK,body,full,"<p class='ql-align-justify'>The form crocodrillus is attested in <span style='background-color: rgb(250, 204, 204);'>Medieval Latin</span>. It is not clear whether this is a medieval corruption or derives from alternative Greco-Latin forms (late Greek corcodrillos and corcodrillion are attested). A (further) corrupted form cocodrille is found in Old French and was borrowed into Middle English as cocodril(le). The Modern English form crocodile was adapted directly from the Classical Latin crocodÄ«lus in the 16th century, replacing the earlier form. The use of -y- in the scientific name <a href='https://en.wikipedia.org/wiki/Crocodylus' rel='noopener noreferrer' target='_blank' contenteditable='false'>Crocodylus</a> (and forms derived from it) is a corruption introduced by Laurenti (1768).</p>",6
Dd74Ftfed,0Us0pGNuK,body,full,"<p class='ql-align-justify'>Crocodylus is a genus of true crocodiles in the family <strong style='color: rgb(161, 0, 0);'>Crocodylidae</strong>. The generic name, Crocodylus, was proposed by Josephus Nicolaus Laurenti in 1768. Crocodylus contains 13â€“14 extant (living) species and 5 extinct species. There are additional extinct species attributed to the genus Crocodylus that studies have shown no longer belong, although they have not yet been reassigned to new genera. Osteolaeminae was named by Christopher Brochu in 2003 as a <span style='background-color: rgb(250, 204, 204);'>subfamily of Crocodylidae</span> separate from Crocodylinae, and contains the two extant genera Osteolaemus and Mecistops, along with several extinct genera. The number of extant species within Osteolaeminae is currently in question.</p>",7
_wwnKVQEM,0Us0pGNuK,header1,full,"<p><span style='color: rgb(107, 36, 178);'>Species Comparison</span></p>",8
0lh6b-1Gj,0Us0pGNuK,body,small,"<p class='ql-align-justify'>A <strong style='color: rgb(107, 36, 178);'>crocodile's</strong> physical traits allow it to be a successful predator. Its external morphology is a sign of its aquatic and predatory lifestyle. Its streamlined body enables it to swim swiftly; it also tucks its feet to the side while swimming, making it faster by decreasing water resistance. Crocodiles have <span style='background-color: rgb(235, 214, 255);'>webbed feet </span>which, though not used to propel them through the water, allow them to make fast turns and sudden moves in the water or initiate swimming. Webbed feet are an advantage in shallow water, where the animals sometimes move around by walking. Crocodiles have<span style='background-color: rgb(235, 214, 255);'> a palatal flap, a rigid tissue </span>at the back of the mouth that blocks the entry of water. The palate has a special path from the nostril to the glottis that bypasses mouth. N<span style='color: rgb(32, 33, 34);'>ostrils are closed on submergence.</span></p>",9
ouqIng0fd,0Us0pGNuK,body,small,"<p class='ql-align-justify'><strong style='color: rgb(107, 36, 178);'>Alligators</strong>, much like birds, have been shown to exhibit unidirectional movement of air through their lungs. Most other amniotes are believed to exhibit bidirectional, or tidal breathing. For a <span style='background-color: rgb(235, 214, 255);'>tidal breathing animal</span>, such as a mammal, air flows into and out of the lungs through branching bronchi which terminate in small dead-end chambers called alveoli. As the alveoli represent dead-ends to flow, the inspired air must move back out the same way it came in. In contrast, air in alligator <span style='background-color: rgb(235, 214, 255);'>lungs makes a circuit</span>, moving in only one direction through the parabronchi. The air first enters the outer branch, moves through the parabronchi, and exits the lung through the inner branch. Oxygen exchange takes place in extensive vasculature around the parabronchi.</p>",10
5f-p0LFN2,0Us0pGNuK,body,small,"<p class='ql-align-justify'>The <strong style='color: rgb(107, 36, 178);'>gharial</strong> is olive-coloured, with adults being darker than young, which have dark brown cross bands and speckles. Its back turns almost black at 20 years of age, but its <span style='background-color: rgb(235, 214, 255);'>belly is yellowish-white</span>. It has four transverse rows of two scales on the neck, which continue along the back. Scutes on the head, neck and back form a single continuous plate composed of 21 to 22 transverse series, and four longitudinal series. Scutes on the back are bony, but softer and feebly keeled on the sides. The outer edges of the forearms, legs, and feet have crests jutting out; fingers and toes are partly webbed. Its snout is very long and narrow, widened at the end, and with 27 to 29 upper teeth and 25 or 26 lower teeth on each side. The lower <span style='background-color: rgb(235, 214, 255);'>jaw teeth fit into</span> spaces in the upper jaw.</p>",11
4aeWoIpvY,0Us0pGNuK,header1,full,"<p><span style='color: rgb(0, 71, 178);'>Biology and Behavior</span></p>",12
RkA9lBBxI,0Us0pGNuK,body,full,"<p class='ql-align-justify'>Crocodiles have very good night vision, and are <span style='background-color: rgb(204, 224, 245);'>mostly nocturnal hunters</span>. They use the disadvantage of most prey animals' poor nocturnal vision to their advantage. The light receptors in crocodilians' eyes include cones and numerous rods, so it is assumed all crocodilians can see colours. Crocodiles have vertical-slit shaped pupils, similar to those of domestic cats. One explanation for the evolution of slit pupils is that they exclude light more effectively than a circular pupil, helping to protect the eyes during daylight. On the rear wall of the eye is a <strong style='color: rgb(0, 71, 178);'>tapetum lucidum</strong>, which reflects incoming light back onto the retina, thus utilizing the small amount of light available at night to best advantage. In addition to the protection of the upper and lower eyelids, crocodiles have a nictitating membrane (sometimes called a 'third eye-lid') that can be drawn over the eye from the inner corner while the lids are open. The eyeball surface is thus protected under the water while a certain degree of vision is still possible.</p>",13
2LWjKrluV,0Us0pGNuK,body,full,"<p class='ql-align-justify'>Crocodilians are more closely related to birds and dinosaurs than to most animals classified as reptiles, the three families being included in the group Archosauria. Despite their prehistoric look, crocodiles are among the more biologically complex reptiles. Unlike other reptiles, a crocodile has a cerebral cortex and a four-chambered heart. Crocodilians also have the functional equivalent of <strong style='color: rgb(0, 71, 178);'>a diaphragm</strong> by incorporating muscles used for aquatic locomotion into respiration. <span style='background-color: rgb(204, 224, 245);'>Salt glands are present</span> in the tongues of crocodiles and they have a pore opening on the surface of the tongue, a trait that separates them from alligators. Salt glands are dysfunctional in Alligatoridae. Their function appears to be similar to that of salt glands in marine turtles. Crocodiles do not have sweat glands and release heat through their mouths. They often sleep with their mouths open and may pant like a dog. Four species of freshwater crocodile climb trees to bask in areas lacking a shoreline.</p>",14
AnZxQStx0,384iNdEeyd,body,full,,1
f-AgqyFyv,913QtFCpZ6,body,full,,1
Mjq-O8vjO,9SATUVLLy,body,full,,1
vAeREETYO,a6BY2TJlh,body,full,"<p class='ql-align-justify'>For the past two weeks of the internship, multiple topics on Read Model and Database Optimization were discussed to us.<span style='color: rgb(33, 37, 41);'>&nbsp;First, a </span><span style='color: rgb(33, 37, 41); background-color: rgb(235, 214, 255);'>database optimization</span><span style='color: rgb(33, 37, 41);'> called </span><strong style='color: rgb(107, 36, 178);'>Flat Table Database</strong><span style='color: rgb(33, 37, 41);'> was discussed along with the advantages and disadvantages to using this implementation for structuring the tables in our database. I</span>t is worth noting that using a flat table database causes reads to be much faster while making writes slower.<span style='color: rgb(33, 37, 41);'> Then, </span>document store was also introduced which is a type of non-relational database that is designed to store and query data as JSON-like documents. The use of Redis, a high-performance in-memory data structure store, was recommended in implementing <strong style='color: rgb(107, 36, 178);'>document store</strong> in our applications.</p>",1
GbTlrYdoE,a6BY2TJlh,header1,full,"<p><em>Technical Requirements</em></p>",2
-R-L3Kz00,a6BY2TJlh,body,full,"<p><strong style='color: rgb(161, 0, 0);'><em>Flat Table Implementation</em></strong>: implementation of <span style='background-color: rgb(250, 204, 204);'>flat tables on entities</span> such as user, workspace, page, and block tables.</p><p><strong style='color: rgb(161, 0, 0);'><em>Use of Indexes for Filter and Sort</em></strong>: creation of indexes thru <span style='background-color: rgb(250, 204, 204);'>unique constraint</span> in the entity tables to retrieve data quickly.</p><p><strong style='color: rgb(161, 0, 0);'><em>Caching Implementation</em></strong>: usage of Redis to implement data caching on <span style='background-color: rgb(250, 204, 204);'>locked pages</span> to improve application performance.</p>",3
s0CuVP0_y,a6BY2TJlh,header1,full,"<p><em>Required User Stories</em></p>",4
9wYUBbv73,a6BY2TJlh,body,full,"<p>1. As a user, I want to be able to view and <span style='background-color: rgb(255, 235, 204);'>edit workspace</span> information.</p><p>2. As a user, I want to be able to add blocks and <span style='background-color: rgb(255, 235, 204);'>update block</span> contents, types, and styles.</p><p>3. As a user, I want to be able to delete pages and their <span style='background-color: rgb(255, 235, 204);'>corresponding blocks</span>.</p><p>4. As a user, I want to be able to <span style='background-color: rgb(255, 235, 204);'>upload photos</span> on blocks and as icons or cover.</p>",5
flrf-afdH,a6BY2TJlh,header1,full,"<p><em>Nice to Haves</em></p>",6
VTmT2YLl1,a6BY2TJlh,body,full,"<p class='ql-align-justify'><em>a) As a user, I want to be able to re-order blocks and pages by </em><strong style='color: rgb(0, 71, 178);'><em>dragging the objects</em></strong><em>.</em></p><p class='ql-align-justify'><em>b) As a user, I want to be able to </em><strong style='color: rgb(0, 71, 178);'><em>search my pages</em></strong><em> and be able to access the pages they belong to.</em></p><p class='ql-align-justify'><em>c) As a user, I want to be able to share a </em><strong style='color: rgb(0, 71, 178);'><em>publicly accessible read-only view</em></strong><em> of a page of my choice.</em> </p>",7
HbSOkQSSK,a6BY2TJlh,body,full,,8
cSRfiaijw,IaebIDlu5R,body,full,,1
a_q9buo87,joJWzsyZ5,body,full,,1
3Wf24xIWp,K4fg5941r,body,full,"<p class='ql-align-justify'>For the past two weeks of the internship, multiple topics on Read Model and Database Optimization were discussed to us.<span style='color: rgb(33, 37, 41);'>&nbsp;First, a </span><span style='color: rgb(33, 37, 41); background-color: rgb(204, 232, 204);'>database optimization </span><span style='color: rgb(33, 37, 41);'>called </span><strong style='color: rgb(0, 97, 0);'>Flat Table Database</strong><span style='color: rgb(33, 37, 41);'> was discussed along with the advantages and disadvantages to using this implementation for structuring the tables in our database. I</span>t is worth noting that using a flat table database causes reads to be much faster while making writes slower.<span style='color: rgb(33, 37, 41);'> Then, </span>document store was also introduced which is a type of non-relational database that is designed to store and query data as JSON-like documents. The use of Redis, a high-performance in-memory data structure store, was recommended in implementing <strong style='color: rgb(0, 97, 0);'>document store</strong> in our applications.</p>",1
nZ_xjvhqI,K4fg5941r,header1,full,"<p><em>Flat Table Implementation</em></p>",2
nBCX95R2E,K4fg5941r,body,half,"<p class='ql-align-justify'>The figure on the right shows the NotesOn mini-app <strong style='color: rgb(178, 178, 0);'>entities</strong> for users, workspaces, pages, and blocks. To implement flat tables on the models, changes were made mostly on the workspaces, pages, and blocks. In the previous implementation, the order for entities had a separate table for each. Thus, <span style='background-color: rgb(255, 255, 204);'>requiring joins</span> of different tables for select query. In the new implementation, the order and other necessary data for listing are all contained in the table. Through this optimization, three entities were discarded from the databases</p><p class='ql-align-justify'>The tables are structured so that the <span style='background-color: rgb(255, 255, 204);'>reads would not require joining</span> of tables on select procedure. Hence, <span style='background-color: transparent; color: rgb(0, 0, 0);'>everything relevant for the interface is stored in a single table which makes querying simpler and faster. </span>This means the database composition depends on what the <strong style='color: rgb(178, 178, 0);'>user interface</strong> actually require. In the creation of new data in a table, there are specific default values set that would fill in the data for listing which maintains standard configuration of the model.</p>",3
q-jiMDhF-,K4fg5941r,image,half,http://localhost:3000/static/block_q-jiMDhF-.png,4
75GFRLkU_,K4fg5941r,header1,full,"<p><em>Use of Indexes</em></p>",5
y6qvvmDHE,K4fg5941r,body,full,"<p class='ql-align-justify'>The mini-app used indexes on workspace table, pages table, and blocks table. These indexes were <span style='background-color: rgb(204, 224, 245);'>automatically generated</span> through the SQL<span style='color: rgb(0, 0, 0);'> integrity constraints that were initialized</span> during the creation of tables. In particular, the <strong style='color: rgb(0, 71, 178);'>unique constraint</strong> was utilized which <a href='https://www.javatpoint.com/mysql-unique-index' rel='noopener noreferrer' target='_blank' contenteditable='false'>creates an index</a><span style='color: rgb(51, 51, 51);'> for a certain table behind the scenes. By observing the figure shown below, defining a unique constraint for order and pageId of blocks table prompted the creation of a new index with a key name </span><strong style='color: rgb(0, 71, 178);'>uq_order</strong><span style='color: rgb(51, 51, 51);'>. In </span>this specific instance, the index is used to retrieve filtered and sorted blocks more quickly from the database.</p>",6
25HJr4a_X,K4fg5941r,image,full,http://localhost:3000/static/block_25HJr4a_X.png,7
msZYGOcq_,K4fg5941r,body,full,"<p class='ql-align-justify'>Notice that the automatically generated index is created on the combination of order and pageId columns. The new index is <span style='background-color: rgb(204, 224, 245);'>unique and of BTree</span> type. Similar implementations were executed on the workspaces table and pages table. The workspace table index is created on the combination of order and userId columns. The page table index is created on the combination of order and workspaceId columns. Likewise, the corresponding indexes of the tables are used to retrieve <span style='background-color: rgb(204, 224, 245);'>filtered and sorted</span> data more quickly from the database.</p>",8
-yFeYWP96,K4fg5941r,header1,full,"<p><em>Cache Implementation</em></p>",9
8AZGKM6FH,K4fg5941r,body,full,"<p class='ql-align-justify'>Moreover, when a user decides to unlock a page, the key corresponding to that page is deleted. Since unlocked pages can be edited and be updated by a user, deleting the key of previously locked page ensures that the data on cache are <span style='background-color: rgb(255, 235, 204);'>not outdated</span>. Meanwhile, when a user settled to lock a page, the said page will be cached on the Redis non-relational database. The cache implementation of the application helps speed up application performance and increase efficiency.</p>",10
tqP5BpAUx,K4fg5941r,body,full,"<p class='ql-align-justify'>For this techniqal requirement, we were tasked to use and <strong style='color: rgb(178, 107, 0);'>dockerize Redis</strong> for our mini-app. The caching of data on this application was implemented on getting <span style='background-color: rgb(255, 235, 204);'>blocks of locked pages</span>. The first get request on blocks of locked pages evokes a cache miss. On the event of cache miss, the server would store the blocks on redis. The succeeding get requests on the same set of blocks prompts a cache hit until the key expires. The expiration time of stored key is set to <strong style='color: rgb(178, 107, 0);'>three hours</strong> which is slightly higher than the average reading time of a person.</p>",11
auGrJo_cQ,K4fg5941r,body,full,,12
NwQJEbbtm,K4QVGveY4,body,full,"<p>Another Block</p>",1
NPfx_7OfS,NiXxz5w6c,body,full,"<p class='ql-align-justify'>For this week, we were introduced to WebSockets which help create <span style='background-color: rgb(235, 214, 255);'>bidirectional communication</span> between a client and a server. This means data can flow in both ways, from the client to the server and vice versa. Another feature of using WebSockets is that it allows for real-time data flow on multiple different clients. We used Socket.IO which enables real-time, bidirectional and event-based communication. It works on every platform focusing equally on reliability and speed. Socket.io is a library that abstracts the implementation of WebSockets for apps to have <span style='background-color: rgb(235, 214, 255);'>real-time updates</span>. </p>",1
MrY9Y_laQ,NiXxz5w6c,header1,full,"<p><em>Technical Requirements</em></p>",2
T3a1zURD5,NiXxz5w6c,body,full,"<p><strong style='color: rgb(161, 0, 0);'><em>Intergration of Socket.io on Server</em></strong>: after the installation of socket.io in the express app, the sockets were set up to be used by the server.</p><p><strong style='color: rgb(161, 0, 0);'><em>Intergration of Socket.io on Client</em></strong>: after installating ngx-socket-io in the angular app, socket module was imported with the correct configurations. </p>",3
Nv-7QBL07,NiXxz5w6c,header1,full,"<p><em>Required User Stories</em></p>",4
u0wYhU62s,NiXxz5w6c,body,full,"<p>1.&nbsp;As a user, I want to be able to view user info and change user info on the <span style='background-color: rgb(255, 235, 204);'>revamped dashboard</span>.</p><p>2. As a user, I would like to <span style='background-color: rgb(255, 235, 204);'>see live updates</span> on <code>blocks</code>, <code>block order</code>, <code>page title</code>, and <code>banner</code> when viewing a publicly accessible page.</p><p>3. As a user, I want to be able to <span style='background-color: rgb(255, 235, 204);'>block current viewers</span> of my shared page when I unshare it.</p>",5
bvtphWkeD,NiXxz5w6c,header1,full,"<p><em>Nice to Haves</em></p>",6
_0auryiYq,NiXxz5w6c,body,full,"<p class='ql-align-justify'><em>a) </em>As a user, I would like to be <strong style='color: rgb(0, 97, 0);'>notified if there were changes</strong> in my page so that I can manually reload.</p><p class='ql-align-justify'><em>b) </em>As a user, I want to receive notification <strong style='color: rgb(0, 97, 0);'>messages before being booted out</strong> on a publicly-accessible page. </p>",7
t34gMCWh5,NiXxz5w6c,header1,full,"<p><em>NotesOn Adjustments</em></p>",8
-1Js5pA_g,NiXxz5w6c,body,full,"<p><strong style='color: rgb(0, 71, 178);'><em>Use of Toastr to Display Messages</em></strong>: important success, warning, and error <span style='background-color: rgb(204, 224, 245);'>messages are displayed</span> using toastr alert notifications.</p><p><strong style='color: rgb(0, 71, 178);'><em>Smoother Drag and Drop</em></strong>: use of <span style='background-color: rgb(204, 224, 245);'>animations while sorting</span> an element inside the drop list and removed block preview.</p><p><strong style='color: rgb(0, 71, 178);'><em>Modifications on Adding Blocks</em></strong>: <span style='background-color: rgb(204, 224, 245);'>better display</span> for newly-added blocks. New blocks can be added through the enter key.</p>",9
BgiBy-sY9,NiXxz5w6c,body,full,,10
